x,y,heading,kappa,v,d_left,d_right
4.36496,25.34771,-0.26626,-0.09923,5.50398,1.45000,0.82500
5.18665,25.08731,-0.32097,-0.03440,6.02177,1.22500,1.12500
6.02098,24.79713,-0.32260,0.03034,5.92993,0.95000,1.35000
6.82146,24.54084,-0.26996,0.09503,5.40392,0.72500,1.52500
7.57214,24.36791,-0.15263,0.16094,4.95651,0.57500,1.62500
8.30863,24.31207,0.03518,0.23157,4.59954,0.47500,1.65000
9.02231,24.41894,0.28776,0.28361,4.59954,0.50000,1.72500
9.64330,24.70710,0.57479,0.27138,4.59954,0.47500,1.72500
10.15078,25.14991,0.86604,0.28261,4.60768,0.47500,1.67500
10.52697,25.74616,1.13181,0.24685,4.60768,0.47500,1.70000
10.75960,26.44654,1.35882,0.22694,4.90973,0.47500,1.70000
10.83957,27.19871,1.55480,0.19252,5.15664,0.50000,1.67500
10.78376,27.95645,1.72090,0.16473,5.45536,0.50000,1.70000
10.61364,28.69256,1.86394,0.14127,5.76587,0.50000,1.67500
10.34509,29.40977,1.98461,0.12048,6.08753,0.55000,1.67500
9.98601,30.12170,2.08261,0.10091,6.42802,0.67500,1.52500
9.54836,30.82809,2.16026,0.08191,6.78969,0.90000,1.37500
9.04943,31.52212,2.22021,0.06328,7.17034,1.02500,1.20000
8.50783,32.19851,2.26429,0.04496,7.56559,1.20000,1.05000
7.94073,32.85594,2.29350,0.02693,7.96948,1.27500,0.97500
7.36288,33.49684,2.30827,0.00918,8.00000,1.25000,0.90000
6.78529,34.12780,2.30862,-0.00834,8.00000,1.35000,0.85000
6.21539,34.75905,2.29449,-0.02570,8.00000,1.30000,0.87500
5.66030,35.40095,2.26595,-0.04293,7.78997,1.32500,0.85000
5.12801,36.06281,2.22314,-0.06011,7.41715,1.25000,0.92500
4.62761,36.75280,2.16621,-0.07738,7.05597,1.25000,0.97500
4.16961,37.47756,2.09528,-0.09494,6.70578,1.15000,1.05000
3.76632,38.24156,2.01030,-0.11307,6.36416,1.02500,1.17500
3.43290,39.04447,1.91071,-0.13220,6.02784,0.95000,1.25000
3.18748,39.87837,1.79486,-0.15306,5.69448,0.87500,1.32500
3.04728,40.73661,1.66106,-0.17645,5.35672,0.95000,1.25000
3.03037,41.61414,1.50815,-0.20355,4.99585,1.25000,1.10000
3.15492,42.45251,1.32463,-0.23667,4.61175,1.50000,0.77500
3.41303,43.13708,1.07376,-0.28211,4.61175,1.72500,0.52500
3.80081,43.64318,0.76236,-0.27831,4.61175,1.72500,0.45000
4.33458,44.01713,0.47416,-0.25218,4.70329,1.65000,0.52500
4.94119,44.22844,0.19923,-0.24679,4.78651,1.75000,0.47500
5.56648,44.26585,-0.08829,-0.26189,4.78651,1.77500,0.45000
6.29947,44.10821,-0.31257,-0.21367,4.78651,1.55000,0.90000
7.10432,43.76888,-0.46893,-0.17299,5.19144,1.07500,1.25000
7.87138,43.31185,-0.59123,-0.13631,5.60780,0.80000,1.40000
8.57383,42.78233,-0.68677,-0.10179,6.03087,0.62500,1.57500
9.22541,42.20164,-0.75548,-0.06814,6.47039,0.52500,1.65000
9.84121,41.58860,-0.79732,-0.03489,6.92686,0.50000,1.70000
10.43450,40.96338,-0.81235,-0.00182,7.38938,0.47500,1.67500
11.01725,40.34740,-0.80010,0.03126,7.72413,0.50000,1.70000
11.60301,39.75999,-0.75936,0.06451,7.36701,0.45000,1.70000
12.20502,39.21992,-0.69384,0.08566,7.05088,0.50000,1.70000
12.83526,38.73500,-0.60817,0.10735,6.79130,0.50000,1.67500
13.50869,38.31231,-0.50275,0.13009,6.79130,0.47500,1.70000
14.23109,37.96746,-0.39113,0.12301,6.79130,0.50000,1.67500
14.99249,37.70043,-0.28596,0.11738,6.94421,0.50000,1.65000
15.78344,37.51104,-0.18598,0.11299,7.09791,0.52500,1.67500
16.59464,37.39898,-0.09000,0.10969,7.24231,0.55000,1.65000
17.41482,37.36383,0.00334,0.10739,7.36982,0.52500,1.65000
